plot;date;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;latitude;longitude;accuracy;elevation;soil;location;comment;alliance;association;observer
se01;2014-05-19;75;60;45;30;65;3;22;14;5;0,6;0,2;16;16;S;30;0;0;15;47.842626N;14.597421E;14;;Skeletthumusboden;Spießkogel südw. Küpfern;;Tilenion platyphylli;Aceri-Tilietum platyphylli Faber 1936 typicum;R. Kaiser & T. Eberl
se02;2014-05-19;85;55;45;30;80;2;18;14;4;0,5;0,25;16;16;S;30;0;0;5;47.843594N;14.598447E;12;;Skeletthumusboden;Spießkogel südw. Küpfern;;Tilenion platyphylli;Aceri-Tilietum platyphylli Faber 1936 typicum;R. Kaiser & T. Eberl
se03;2014-05-19;100;75;30;4;97;7;27;20;5;0,4;0,2;16;16;SW;50;0;0;0;47.821533N;14.645763E;11;;Mull-Rendzina;Kleinreifling;;Lunario-Acerenion pseudoplatani;Acrunco-Aceretum Moor 1952;R. Kaiser & T. Eberl
se04;2014-05-20;85;50;25;35;75;30;16;9;5;0,4;0,15;10;25;SW;50;25;0;0;47.913103N;14.517429E;9;;Rendzina;Höllleitenbach;Rücken W Höllleitenbach;Tilenion platyphylli;Aceri-Tilietum platyphylli Faber 1936 s.l. -seslerietosum prov.;R. Kaiser & T. Eberl
se05;2014-05-20;97;70;45;40;60;35;18;14;4;0,6;0,2;16;16;S;50;20;0;0;47.912542N;14.519298E;6;;Mull-Rendzina;Höllleitenbach;;Tilenion platyphylli;Aceri-Tilietum platyphylli Faber 1936 s.l. -seslerietosum prov.;R. Kaiser & T. Eberl
se06;2014-05-21;98;35;50;7;90;25;10;8;3;0,6;0,2;16;16;S;20;2;0;0;47.913278N;14.321912E;6;;Rendzina;Schreibachfall;;Tilenion platyphylli;Aceri-Tilietum platyphylli Faber 1936 s.l. -seslerietosum prov.;R. Kaiser & T. Eberl
se07;2014-05-21;97;93;30;10;50;80;27;15;5;0,7;0,2;16;16;S;25;0;0;50;47.912921N;14.321630E;12;;Skeletthumusboden;Schreibachfall;;Lunario-Acerenion pseudoplatani;Phyllitido-Aceretum Moor 1945;R. Kaiser & T. Eberl
se08;2014-05-21;100;90;30;3;85;15;30;20;3;0,3;0,15;16;16;SE;25;0;0;15;47.913643N;14.323348E;9;;Kalkbraunerde;Schreibachfall;;Fagion sylvaticae;Mercuriali-Fagetum Scamoni 1935 -tilietosum (Moor 1945) Willner 2007;R. Kaiser & T. Eberl
se09;2014-05-21;98;75;45;25;80;5;17;13;5;0,5;0,2;16;16;S;35;5;0;0;47.915092N;14.324439E;7;;Rendzina;Schreibachfall;;Tilenion platyphylli;Aceri-Tilietum platyphylli Faber 1936 s.l. -seslerietosum prov.;R. Kaiser
se10;2014-05-21;94;85;25;8;50;5;25;15;5;0,5;0,2;16;16;SW;45;20;5;20;47.917085N;14.325832E;8;;Skeletthumusboden;Schreibachfall;;Tilenion platyphylli;Aceri-Tilietum platyphylli Faber 1936 s.l. -typicum;R. Kaiser & T. Eberl
se11;2014-06-03;90;50;10;10;85;3;30;20;4;0,5;0,3;16;16;W;45;3;0;0;47.840119N;14.552208E;14;990;Rendzina;Restental;kleine Aufflichtung (Lochieb) in ansonsten lichtem Steilhangwald  ;Fagion sylvaticae;Adenostylo glabrae-Fagetum Moor 1970 -calamagrostietosum variae (Zukrigl 1973) Willner 2007;R. Kaiser
se12;2014-06-03;95;85;10;2;35;2;28;20;3;0,3;0,15;16;16;W;35;0;0;35;47.841536N;14.550832E;7;945;Skeletthumusboden;Restental;oberhalb der A.ursinum-Zone am Unterhang;Fagion sylvaticae;Adenostylo glabrae-Fagetum Moor 1970 -helleboretosum nigri Willner 2007;R. Kaiser
se13;2014-06-03;97;65;20;15;55;90;28;22;3;0,3;0,15;10;25;N;10;0;0;0;47.840935N;14.547066E;15;865;Skeletthumusboden;Restental;enlang Graben;Lunario-Acerenion pseudoplatani;Phyllitido-Aceretum Moor 1945;R. Kaiser & T. Eberl
se14;2014-06-03;100;45;20;55;99;1;28;20;45;1;0,4;16;16;S;40;0;0;0;47.824737N;14.539011E;7;780;Pseudogley-Braunerde;Vogelnestgraben;tiefgründig, lehmig und nährstoffreich;Lunario-Acerenion pseudoplatani;Carici pendulae-Aceretum (Etter 1947) Oberd. 1957;R. Kaiser & T. Eberl
se15;2014-06-03;95;55;30;70;80;2;30;20;7;0,7;0,2;16;16;S;25;0;5;0;47.823412N;14.537894E;10;720;Pseudogley-Braunerde;Vogelnestgraben;tiefgründig, lehmig und nährstoffreich;Lunario-Acerenion pseudoplatani;Carici pendulae-Aceretum (Etter 1947) Oberd. 1957;R. Kaiser & T. Eberl
se16;2014-06-03;98;50;45;30;85;2;12;8;2;0,7;0,2;25;10;SW;15;2;0;0;47.922776N;14.377096E;5;560;Kalkbraunerde;Wendbach;parallel zur Felskante;Carpinion betuli;Galio sylvatici-Carpinetum Oberd. 1957 -brachypodietosum sylvatici Mayer 1974;R. Kaiser & T. Eberl
se17;2014-06-04;95;20;60;3;90;3;9;7;3;0,6;0,25;25;10;SW;25;7;0;0;47.924280N;14.375198E;10;500;Rendzina;Wendbach;parallel zur Felskante unter Eichen;Carpinion betuli;Galio sylvatici-Carpinetum Oberd. 1957 -brachypodietosum sylvatici Mayer 1974;R. Kaiser & T. Eberl
