plot	locality	longitude	latitude	accuracy
1	Untersberg, Richtung Grödiger T[h]örl	13.032705359	47.7334391126	500
2	Untersberg, unterhalb der Ostwand	13.0105524332	47.7177045979	2000
3	Untersberg, Grüntal	12.9493550341	47.7300374507	200
4	Untersberg, im Rosittental	13.0180245924	47.7338571334	200
5	Untersberg, Gemeinberg-Ostwand	13.0224938503	47.734881989	100
6	Untersberg, Fürstenbrunn, in der Quelle	12.994502392	47.73834328	200
7	Untersberg, Rosittental	13.0174174988	47.7344985033	200
8	Untersberg, Rosittental	13.0170062196	47.7319167194	200
9	Blühnbachtal	13.161963915	47.488213107	500
10	Scharflinger Höhe	13.3898641357	47.7860142254	200
11	Hintersee, oberhalb des Tauglbaches	13.3067311866	47.7106981873	500
12	Weißbachtal	13.4597518101	47.663553878	1000
13	unterhalb Nordabfall des Schafberges	13.4268616124	47.7953439698	1000
14	unterhalb Nordabfall des Schafberges	13.4268616124	47.7953439698	1000
