plot;cov;tcov1;tcov2;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;location;mangement;altitude;accuracy;latitude;longitude;observer
E4486N2676-1;94;0;0;0;94;5;0;0;0;0,25;0,1;5;5;N;5;3;1;0;2012-06-19;Söllnalm (Krimmler Achental);pasture;1590;10;47.175996;12.186099;R. Kaiser
E4492N2676-1;94;0;0;0;90;15;0;0;0;0,2;0,1;5;5;W;25;5;1;0;2012-06-19;Poschalm (Obersulzbachtal);pasture;1573;10;47.175903;12.263135;R. Kaiser
E4503N2682-1;93;0;0;0;75;50;0;0;0;0,3;0,05;5;5;NW;5;7;0;0;2012-06-19;Siernerbräualm (Hollersbachtal);pasture;1101;10;47.228589;12.414368;R. Kaiser
E4519N2679-1;99;0;0;0;97;5;0;0;0;0,25;0,05;5;5;SW;30;0;1;0;2012-06-19;Schneiderau (Stubachtal);pasture;1223;10;47.193402;12.617699;R. Kaiser
E4519N2702-1;90;0;0;0;95;5;0;0;0;0,2;0,03;5;5;S;10;2;2;0;2012-06-26;Spielbergalm (Saalbach);pasture;1330;10;47.407760;12.631714;R. Kaiser
E4519N2702-2;97;0;0;0;97;3;0;0;0;0,3;0,05;5;5;S;15;0;3;0;2012-06-26;Spielbergalm (Saalbach);pasture;1307;10;47.407394;12.630182;R. Kaiser
E4520N2730-1;97;0;0;0;95;25;0;0;0;0,11;0,05;5;5;W;5;0;3;0;2012-06-26;Heutal (Heutal);meadow;1026;10;47.658154;12.657484;R. Kaiser
E4549N2774-1;99;0;0;0;98;2;0;0;0;0,25;0,1;5;5;W;35;0;1;0;2012-09-04;Gumperding (Oichtental);meadow;486;10;48.044667;13.066522;R. Kaiser
E4557N2674-1;99;0;0;0;75;30;0;0;0;0,25;0,15;5;5;NE;35;0;1;0;2012-09-03;Haberreith (Bad Hofgastein);pasture;1216;10;47.136842;13.110771;R. Kaiser
E4557N2674-2;98;0;0;0;95;2;0;0;0;0,15;0,1;5;5;NE;30;0;2;0;2012-09-03;Haberreith (Bad Hofgastein);pasture;1201;10;47.137130;13.109942;R. Kaiser
E4560N2784-1;90;0;0;0;85;15;0;0;0;0,25;0,02;5;5;E;25;0;13;0;2012-08-09;Leiterseck (Moosbachtal);meadow;516;10;48.130600;13.210685;R. Kaiser
E4566N2755-1;98;0;0;0;98;1;0;0;0;0,3;0,1;5;5;SE;20;0;1;0;2014-05-10;Burschach (Kolomannsberg);meadow;850;10;47.865618;13.275072;R. Kaiser
E4566N2756-1;100;0;0;0;100;0;0;0;0;0,7;0,2;5;5;S;10;0;0;0;2014-05-10;Schernthan (Kolomannsberg);meadow;960;10;47.869086;13.280870;R. Kaiser
E4566N2783-1;98;0;0;0;98;1;0;0;0;0,4;0,1;5;5;S;25;0;2;0;2012-06-27;Peretseck (Kobernaußerwald);meadow;636;10;48.112686;13.295259;R. Kaiser
E4567N2756-1;100;0;0;0;100;13;0;0;0;0,3;0,1;5;5;NE;20;0;0;0;2012-06-29;Tiefgraben (Mondseer Flyschberge);meadow;650;10;47.870507;13.297566;R. Kaiser
E4567N2757-1;95;0;0;0;94;5;0;0;0;0,4;0,1;5;5;NE;20;0;5;0;2012-06-29;Hochserner (Mondseer Flyschberge);pasture;729;10;47.886218;13.288946;R. Kaiser
E4570N2783-1;98;0;0;0;68;30;0;0;0;0,3;0,1;5;5;SW;7;0;2;0;2012-09-04;Warmanstadl (Kobernaußerwald);meadow;675;10;48.116384;13.351815;R. Kaiser
E4572N2783-1;95;0;0;0;90;8;0;0;0;0,2;0,1;5;5;S;25;0;5;0;2012-09-04;Stelzen (Kobernaußerwald);meadow;683;10;48.117187;13.371178;R. Kaiser
