plot,abbr,layer,cover,voucher,comment,history
sb01,acer pseu,hl,+,,,
sb01,achn cala,hl,1,,,
sb01,alli lusi,hl,1,,,
sb01,amel oval,hl,+,,,
sb01,anth ramo,hl,1,,,
sb01,berb vulg,hl,+,,,
sb01,buph sali,hl,2a,,,
sb01,cala vari,hl,2b,,,
sb01,camp trac,hl,+,,,
sb01,card defl viri,hl,2a,,,
sb01,care alba,hl,+,,,
sb01,care digi,hl,+,,,
sb01,care humi,hl,2b,,,
sb01,care mucr,hl,+,,,
sb01,clem vita,hl,2a,,,
sb01,clin alpi alpi,hl,1,,,
sb01,corn sang slat,hl,+,,,
sb01,coto diva,hl,r,,,
sb01,epip atro,hl,r,,,
sb01,epip hell slat,hl,r,,,
sb01,eric carn,hl,+,,,
sb01,euon lati,hl,+,,,
sb01,euph cypa,hl,+,,,
sb01,fagu sylv,hl,+,,,
sb01,frag vesc,hl,+,,,
sb01,fran alnu,hl,+,,,
sb01,frax exce,hl,+,,,
sb01,gale mont,hl,r,,,
sb01,gera robe,hl,r,,,
sb01,glob cord,hl,+,,,
sb01,hede heli,hl,1,,,
sb01,hepa nobi,hl,+,,,
sb01,hier bifi,hl,+,,,
sb01,hier muro,hl,+,,,
sb01,inul cony,hl,r,,,
sb01,lase lati lati,hl,1,,,
sb01,leon inca,hl,+,,,
sb01,ligu vulg,hl,1,,,
sb01,orig vulg,hl,+,,,
sb01,pice abie,hl,+,,,
sb01,poly cham,hl,+,,,
sb01,poly odor,hl,+,,,
sb01,pote caul,hl,r,,,
sb01,prun aviu slat,hl,+,,,
sb01,quer robu,hl,+,,,
sb01,rham cath,hl,1,,,
sb01,salv glut,hl,+,,,
sb01,sedu albu,hl,+,,,
sb01,sesl caer,hl,2b,,,
sb01,sile nuta nuta,hl,+,,,
sb01,soli virg virg,hl,+,,,
sb01,sorb aria,hl,+,,,
sb01,teuc cham,hl,2a,,,
sb01,teuc mont,hl,+,,,
sb01,vero urti,hl,r,,,
sb01,vibu lant,hl,+,,,
sb01,vinc hiru,hl,2b,,,
sb01,viol ×umbr,hl,+,2014-0408,,
sb01,amel oval,sl,2a,,,
sb01,berb vulg,sl,1,,,
sb01,clem vita,sl,+,,,
sb01,corn sang slat,sl,+,,,
sb01,cory avel,sl,1,,,
sb01,fagu sylv,sl,1,,,
sb01,fran alnu,sl,+,,,
sb01,frax exce,sl,+,,,
sb01,jugl regi,sl,+,,,
sb01,popu trem,sl,+,,,
sb01,quer robu,sl,+,,,
sb01,rham cath,sl,2a,,,
sb01,rosa cani,sl,+,,,
sb01,sorb aria,sl,1,,,
sb01,vibu lant,sl,1,,,
sb01,pice abie,tl1,2b,,,
sb01,fagu sylv,tl2,2a,,,
sb01,prun aviu slat,tl2,1,,,
sb01,sorb aria,tl2,2a,,,
sb01,taxu bacc,tl2,2a,,,
sb01,tili ×vul,tl2,2a,,,
sb01,tili plat,tl2,2a,,,
sb02,achn cala,hl,2a,,,
sb02,alli lusi,hl,1,,,
sb02,anth ramo,hl,1,,,
sb02,aspl ruta,hl,r,,,
sb02,buph sali,hl,+,,,
sb02,card defl viri,hl,+,,,
sb02,care humi,hl,1,,,
sb02,care mucr,hl,1,,,
sb02,clin alpi alpi,hl,+,,,
sb02,euph cypa,hl,+,,,
sb02,fran alnu,hl,+,,,
sb02,glob cord,hl,2a,,,
sb02,hier bifi,hl,+,,,
sb02,juni comm comm,hl,+,,,
sb02,lase lati lati,hl,r,,,
sb02,leon inca,hl,1,,,
sb02,poly odor,hl,+,,,
sb02,pote caul,hl,1,,,
