plot,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,latitude,longitude,accuracy,alliance,association,soil,comment,location,observer
ai01,99,0,0,0,98,30,0,0,0,"1,2","0,4",4,4,0,0,,,,2018-05-26,47.776295,13.384981,5,,,,,"Feuchtwiese bei Aich, NE St. Gilgen",T. Eberl
ai02,99,0,0,0,98,15,0,0,0,"1,3","0,4",4,4,0,0,,,,2018-05-26,47.776377,13.385018,5,,,,,"Feuchtwiese bei Aich, NE St. Gilgen",T. Eberl
ai03,100,0,0,0,99,10,0,0,0,"1,2","0,5",4,4,0,0,,,,2018-05-26,47.776254,13.384698,5,,,,,"Feuchtwiese bei Aich, NE St. Gilgen",T. Eberl
ai04,100,0,0,0,99,35,0,0,0,"1,3","0,5",4,4,0,0,,,,2018-05-26,47.776148,13.384446,5,,,,,"Feuchtwiese bei Aich, NE St. Gilgen",T. Eberl
ai05,99,0,0,0,98,30,0,0,0,1,"0,4",4,4,0,0,,,,2018-05-26,47.776172,13.38457,5,,,,,"Feuchtwiese bei Aich, NE St. Gilgen",T. Eberl
ai06,96,0,0,0,90,40,0,0,0,"0,8","0,3",4,4,0,0,,,,2018-05-26,47.776199,13.384329,5,,,,,"Feuchtwiese bei Aich, NE St. Gilgen",T. Eberl
ai07,99,0,0,0,98,10,0,0,0,"1,5","0,5",4,4,0,0,,,,2018-05-26,47.776146,13.384175,5,,,,,"Feuchtwiese bei Aich, NE St. Gilgen",T. Eberl
ai08,100,0,0,0,99,5,0,0,0,"1,2","0,5",4,4,0,0,,,,2018-06-05,47.775819,13.384785,5,,,,,"Feuchtwiese bei Aich, NE St. Gilgen",T. Eberl
ai09,100,0,0,0,97,65,0,0,0,"1,1","0,4",4,4,0,0,,,,2018-06-05,47.775659,13.384657,5,,,,,"Feuchtwiese bei Aich, NE St. Gilgen",T. Eberl
ai10,100,0,0,0,98,45,0,0,0,"1,2","0,4",4,4,0,0,,,,2018-06-05,47.774738,13.38563,5,,,,,"Feuchtwiese bei Aich, NE St. Gilgen",T. Eberl
ai11,100,0,0,0,90,95,0,0,0,"0,6","0,2",4,4,0,0,,,,2018-06-26,47.775915,13.384971,5,,,,,"Feuchtwiese bei Aich, NE St. Gilgen",T. Eberl
